WVLS(um),SZA,H(km)|(-m),Dif_Down,Dir_Down,TotalDown,Total_Up,Up/Down,,,,,,,,
1.535,66.8,0,2.05E+01,6.66E+01,8.71E+01,8.99E+00,0.1032,,,,,,,,
1.54,66.8,0,2.06E+01,6.71E+01,8.77E+01,9.06E+00,0.1033,,,,,,,,
1.545,66.8,0,2.10E+01,6.85E+01,8.95E+01,9.25E+00,0.1034,,,,,,,,
1.55,66.8,0,2.12E+01,6.94E+01,9.06E+01,9.37E+00,0.1034,,,,,,,,
1.555,66.8,0,2.11E+01,6.95E+01,9.06E+01,9.38E+00,0.1034,,,,,,,,
1.56,66.8,0,2.09E+01,6.90E+01,8.99E+01,9.30E+00,0.1034,,,,,,,,
1.565,66.8,0,2.00E+01,6.64E+01,8.64E+01,8.92E+00,0.1032,,,,,,,,
1.57,66.8,0,1.78E+01,5.97E+01,7.75E+01,7.97E+00,0.1029,,,,,,,,
1.575,66.8,0,1.80E+01,6.03E+01,7.82E+01,8.05E+00,0.1029,,,,,,,,
1.58,66.8,0,1.83E+01,6.15E+01,7.97E+01,8.21E+00,0.103,,,,,,,,
1.585,66.8,0,1.89E+01,6.38E+01,8.27E+01,8.53E+00,0.1031,,,,,,,,
1.59,66.8,0,1.88E+01,6.35E+01,8.23E+01,8.48E+00,0.1031,,,,,,,,
1.595,66.8,0,1.81E+01,6.16E+01,7.97E+01,8.21E+00,0.1029,,,,,,,,
1.6,66.8,0,1.70E+01,5.83E+01,7.53E+01,7.73E+00,0.1027,,,,,,,,
